date,close,change,change_pct,per,pbr,dividend_yield_pct
2007-01-02,1435.26,0.8,0.06,11.4,1.47,1.66
2007-01-03,1409.35,-25.91,-1.81,11.2,1.44,1.69
2007-01-04,1397.29,-12.06,-0.86,11.11,1.43,1.7
2007-01-05,1385.76,-11.53,-0.83,11.02,1.42,1.72
2007-01-08,1370.81,-14.95,-1.08,10.9,1.4,1.73
2007-01-09,1374.34,3.53,0.26,10.92,1.4,1.73
2007-01-10,1355.79,-18.55,-1.35,10.78,1.38,1.75
2007-01-11,1365.31,9.52,0.7,10.86,1.39,1.74
2007-01-12,1388.37,23.06,1.69,11.05,1.42,1.71
2007-01-15,1390.96,2.59,0.19,11.07,1.42,1.71
2007-01-16,1389.71,-1.25,-0.09,11.06,1.42,1.71
2007-01-17,1379.48,-10.23,-0.74,10.97,1.41,1.72
2007-01-18,1383.21,3.73,0.27,11,1.41,1.72
2007-01-19,1360.56,-22.65,-1.64,10.82,1.39,1.75
2007-01-22,1363.41,2.85,0.21,10.84,1.39,1.74
2007-01-23,1363.09,-0.32,-0.02,10.84,1.39,1.74
2007-01-24,1383.06,19.97,1.47,11,1.41,1.72
2007-01-25,1382.36,-0.7,-0.05,11,1.41,1.72
2007-01-26,1371.33,-11.03,-0.8,10.92,1.4,1.73
2007-01-29,1363.1,-8.23,-0.6,10.85,1.39,1.74
2007-01-30,1370.72,7.62,0.56,10.91,1.4,1.73
2007-01-31,1360.23,-10.49,-0.77,10.82,1.39,1.75
2007-02-01,1382.9,22.67,1.67,11,1.41,1.72
2007-02-02,1413.14,30.24,2.19,11.25,1.44,1.68
2007-02-05,1417.95,4.81,0.34,11.28,1.45,1.68
2007-02-06,1428.58,10.63,0.75,11.38,1.46,1.66
2007-02-07,1426.29,-2.29,-0.16,11.36,1.46,1.67
2007-02-08,1423.58,-2.71,-0.19,11.33,1.45,1.67
2007-02-09,1427.68,4.1,0.29,11.37,1.46,1.66
2007-02-12,1414.29,-13.39,-0.94,11.26,1.44,1.68
2007-02-13,1418.44,4.15,0.29,11.29,1.45,1.67
2007-02-14,1436.1,17.66,1.25,11.42,1.47,1.65
2007-02-15,1443.63,7.53,0.52,11.47,1.47,1.65
2007-02-16,1448.81,5.18,0.36,11.52,1.48,1.64
2007-02-20,1452.96,4.15,0.29,11.55,1.48,1.63
2007-02-21,1451.38,-1.58,-0.11,11.54,1.48,1.64
2007-02-22,1465.41,14.03,0.97,11.66,1.5,1.62
2007-02-23,1469.88,4.47,0.31,11.69,1.5,1.62
2007-02-26,1470.03,0.15,0.01,11.72,1.5,1.62
2007-02-27,1454.6,-15.43,-1.05,11.6,1.48,1.63
2007-02-28,1417.34,-37.26,-2.56,11.3,1.45,1.68
2007-03-02,1414.47,-2.87,-0.2,11.28,1.44,1.68
2007-03-05,1376.15,-38.32,-2.71,10.98,1.4,1.73
2007-03-06,1402.93,26.78,1.95,11.19,1.43,1.69
2007-03-07,1410.95,8.02,0.57,11.26,1.44,1.68
2007-03-08,1423.89,12.94,0.92,11.36,1.45,1.67
2007-03-09,1423.58,-0.31,-0.02,11.36,1.45,1.67
2007-03-12,1441.33,17.75,1.25,11.5,1.47,1.65
2007-03-13,1436.05,-5.28,-0.37,11.46,,1.65
2007-03-14,1407.37,-28.68,-2,11.24,1.44,1.69
2007-03-15,1426.93,19.56,1.39,11.39,1.46,1.66
2007-03-16,1427.88,0.95,0.07,11.4,1.46,1.66
2007-03-19,1443.39,15.51,1.09,11.53,1.47,1.65
2007-03-20,1444.17,0.78,0.05,11.53,1.47,1.64
2007-03-21,1442.85,-1.32,-0.09,11.53,1.47,1.65
2007-03-22,1448.53,5.68,0.39,11.57,1.48,1.64
2007-03-23,1447.38,-1.15,-0.08,11.57,1.48,1.64
2007-03-26,1449.77,2.39,0.17,11.59,1.48,1.64
2007-03-27,1453.23,3.46,0.24,11.62,1.49,1.63
2007-03-28,1439.74,-13.49,-0.93,11.51,1.47,1.65
2007-03-29,1450.95,11.21,0.78,11.61,1.48,1.64
2007-03-30,1452.55,1.6,0.11,11.62,1.48,1.64
2007-04-02,1459.53,6.98,0.48,11.68,1.49,1.63
2007-04-03,1463.75,4.22,0.29,11.71,1.5,1.62
2007-04-04,1483.41,19.66,1.34,11.87,1.52,1.6
2007-04-05,1482.04,-1.37,-0.09,11.86,1.52,1.6
2007-04-06,1484.15,2.11,0.14,11.88,1.52,1.6
2007-04-09,1501.06,16.91,1.14,12.02,1.54,1.58
2007-04-10,1499.16,-1.9,-0.13,12,1.53,1.58
2007-04-11,1513.42,14.26,0.95,12.11,1.55,1.57
2007-04-12,1525.61,12.19,0.81,12.21,1.56,1.55
2007-04-13,1520.78,-4.83,-0.32,12.18,1.56,1.56
2007-04-16,1532.04,11.26,0.74,12.27,1.57,1.55
2007-04-17,1528.66,-3.38,-0.22,12.24,1.56,1.55
