date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2007-01-02,1435.26,0.8,0.06,1438.89,1439.71,1430.06,147739,2037041,705331659
2007-01-03,1409.35,-25.91,-1.81,1436.42,1437.79,1409.31,203208,2611604,692674665
2007-01-04,1397.29,-12.06,-0.86,1410.55,1411.12,1388.5,241172,2967081,686777867
2007-01-05,1385.76,-11.53,-0.83,1398.6,1400.59,1372.36,277292,3394972,681185457
2007-01-08,1370.81,-14.95,-1.08,1376.76,1384.65,1366.48,177592,2555241,673840181
2007-01-09,1374.34,3.53,0.26,1376.71,1381.99,1367.74,216844,2473171,675406045
2007-01-10,1355.79,-18.55,-1.35,1372.52,1372.52,1345.08,225462,2912102,665963580
2007-01-11,1365.31,9.52,0.7,1357.57,1375.31,1355.63,211751,2689447,670446730
2007-01-12,1388.37,23.06,1.69,1379,1389,1372.87,213766,3185029,682183247
2007-01-15,1390.96,2.59,0.19,1396.87,1397.64,1385.81,163885,2462801,683598165
2007-01-16,1389.71,-1.25,-0.09,1392,1393.42,1385.2,171336,2188877,682987635
2007-01-17,1379.48,-10.23,-0.74,1391.75,1391.75,1369.08,205373,2674358,678010049
2007-01-18,1383.21,3.73,0.27,1378.37,1385.22,1372.93,181232,2599655,679606357
2007-01-19,1360.56,-22.65,-1.64,1369.09,1372.63,1356.22,222672,3008845,668556302
2007-01-22,1363.41,2.85,0.21,1363.84,1364.67,1348.46,190990,2476833,670112630
2007-01-23,1363.09,-0.32,-0.02,1353.06,1367.03,1352.5,184015,2417230,670109016
2007-01-24,1383.06,19.97,1.47,1369.96,1383.75,1369.02,197926,2704447,679913198
2007-01-25,1382.36,-0.7,-0.05,1392.55,1392.55,1379.66,157049,2187782,679698846
2007-01-26,1371.33,-11.03,-0.8,1372.36,1378.48,1366.1,160883,2467215,674188867
2007-01-29,1363.1,-8.23,-0.6,1376.48,1378.28,1361.23,136329,2253639,670015414
2007-01-30,1370.72,7.62,0.56,1365,1371.59,1360.42,161253,2269271,673564065
2007-01-31,1360.23,-10.49,-0.77,1374.76,1374.76,1357.87,192327,2278384,668640362
2007-02-01,1382.9,22.67,1.67,1367.07,1382.9,1362.04,168201,2860276,679625076
2007-02-02,1413.14,30.24,2.19,1386.78,1413.34,1386.06,219152,4169084,694714777
2007-02-05,1417.95,4.81,0.34,1413.77,1420.42,1409.71,181595,3108424,696717738
2007-02-06,1428.58,10.63,0.75,1416.65,1428.91,1414.58,188882,2954601,701659781
2007-02-07,1426.29,-2.29,-0.16,1430.85,1431.25,1419.48,193225,2958774,700475046
2007-02-08,1423.58,-2.71,-0.19,1424.99,1431.01,1416.05,189043,2855871,699033835
2007-02-09,1427.68,4.1,0.29,1424.49,1432.29,1422.97,227567,2741316,701071756
2007-02-12,1414.29,-13.39,-0.94,1416.84,1416.84,1403.75,209291,2819813,694373961
2007-02-13,1418.44,4.15,0.29,1412.72,1424.66,1410.81,219251,2919645,696199130
2007-02-14,1436.1,17.66,1.25,1430.02,1440.51,1430.01,214653,3580135,704870584
2007-02-15,1443.63,7.53,0.52,1450.55,1450.84,1441.79,216083,3503461,708698737
2007-02-16,1448.81,5.18,0.36,1444.46,1448.96,1439.03,207157,3634848,711717549
2007-02-20,1452.96,4.15,0.29,1450.96,1453.25,1443.97,220471,2529606,714119794
2007-02-21,1451.38,-1.58,-0.11,1455.18,1457.37,1444.84,258240,3206897,713416464
2007-02-22,1465.41,14.03,0.97,1452.71,1471.04,1452.62,310281,3683843,720008691
2007-02-23,1469.88,4.47,0.31,1470.44,1471.04,1459.81,310567,5268529,721914552
2007-02-26,1470.03,0.15,0.01,1466.92,1470.95,1462.19,261757,3341189,721758563
2007-02-27,1454.6,-15.43,-1.05,1468.28,1468.28,1453.85,261583,3138990,714194294
2007-02-28,1417.34,-37.26,-2.56,1396.44,1417.34,1393.96,324109,4443881,696039726
